*****************************
Basic coeficients
*****************************
   14.00    ,   -.6835E-02,   -.9486E-03,    .5706E-03,    .5905E-05,    .3607E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   16.00    ,   -.9299E-02,   -.2061E-02,    .2021E-03,    .7223E-05,    .4370E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29

Plain Flaps (set 3)
DeltaFlap, CL
   30.00    ,   -.1324    
   23.00    ,   -.1167    
   15.00    ,   -.1021    
   10.00    ,   -.6987E-01
   5.000    ,   -.3494E-01
    .000    ,     .000    
  -5.000    ,    .3494E-01
  -10.00    ,    .6987E-01
  -16.00    ,    .1075    

Plain Flaps (set 3)
DeltaFlap, Cm
   30.00    ,    .4112    
   23.00    ,    .3630    
   15.00    ,    .3160    
   10.00    ,    .2171    
   5.000    ,    .1085    
    .000    ,     .000    
  -5.000    ,   -.1085    
  -10.00    ,   -.2171    
  -16.00    ,   -.3324    

Cd_Flaps for Plain Flaps (set 3)
Alpha, DeltaFlap
            ,    30.00    ,    23.00    ,    15.00    ,    10.00    ,    5.000    ,     .000    ,   -5.000    ,   -10.00    ,   -16.00    
  -6.000    ,    .7398E-02,   -.3290E-02,    .2093E-03,   -.1891E-05,    .2180E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -4.000    ,    .6129E-02,   -.4694E-02,   -.4916E-03,   -.1213E-05,    .2606E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -2.000    ,    .4823E-02,   -.6312E-02,   -.1199E-02,   -.5152E-06,    .3098E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
    .000    ,    .3503E-02,   -.8386E-02,   -.1928E-02,    .1896E-06,    .3727E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   2.000    ,    .2188E-02,    .5099E-02,   -.2709E-02,    .8922E-06,   -.7915E-03,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   4.000    ,    .8759E-03,    .4110E-02,   -.3562E-02,    .1593E-05,   -.1136E-03,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   6.000    ,   -.4481E-03,    .3093E-02,   -.4545E-02,    .2301E-05,    .5841E-03,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
